"indicator","area_name","area_code","area_type","year","period","numerator","measure","lower_confidence_interval","upper_confidence_interval","definition","data_source"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Fife","S08000029","Health board",2013,"2013/14 financial year",63738,17.37,17.25,17.49,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Forth Valley","S08000019","Health board",2013,"2013/14 financial year",51722,17.26,17.12,17.4,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Grampian","S08000020","Health board",2013,"2013/14 financial year",81131,14.01,13.92,14.1,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Greater Glasgow & Clyde","S08000031","Health board",2013,"2013/14 financial year",209097,18.38,18.3,18.45,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Highland","S08000022","Health board",2013,"2013/14 financial year",48354,15.06,14.94,15.19,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Lanarkshire","S08000032","Health board",2013,"2013/14 financial year",119016,18.24,18.14,18.33,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Lothian","S08000024","Health board",2013,"2013/14 financial year",128702,15.15,15.07,15.22,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Orkney","S08000025","Health board",2013,"2013/14 financial year",3118,14.46,14,14.94,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Shetland","S08000026","Health board",2013,"2013/14 financial year",3042,13.11,12.68,13.55,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Tayside","S08000030","Health board",2013,"2013/14 financial year",69662,16.9,16.79,17.02,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Western Isles","S08000028","Health board",2013,"2013/14 financial year",4073,14.86,14.45,15.29,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Aberdeen City","S12000033","Council area",2013,"2013/14 financial year",32398,14.27,14.12,14.41,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Aberdeenshire","S12000034","Council area",2013,"2013/14 financial year",34790,13.5,13.37,13.63,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Angus","S12000041","Council area",2013,"2013/14 financial year",19254,16.56,16.34,16.77,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Argyll & Bute","S12000035","Council area",2013,"2013/14 financial year",13966,15.86,15.62,16.1,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","City of Edinburgh","S12000036","Council area",2013,"2013/14 financial year",67082,13.76,13.67,13.86,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Clackmannanshire","S12000005","Council area",2013,"2013/14 financial year",9657,18.83,18.5,19.17,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Dumfries & Galloway","S12000006","Council area",2013,"2013/14 financial year",24857,16.54,16.35,16.73,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Dundee City","S12000042","Council area",2013,"2013/14 financial year",28681,19.37,19.17,19.57,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","East Ayrshire","S12000008","Council area",2013,"2013/14 financial year",21705,17.73,17.52,17.94,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","East Dunbartonshire","S12000045","Council area",2013,"2013/14 financial year",16841,15.91,15.69,16.13,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","East Lothian","S12000010","Council area",2013,"2013/14 financial year",17025,16.79,16.56,17.02,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","East Renfrewshire","S12000011","Council area",2013,"2013/14 financial year",13827,15.11,14.88,15.34,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Falkirk","S12000014","Council area",2013,"2013/14 financial year",28119,17.89,17.7,18.08,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Fife","S12000047","Council area",2013,"2013/14 financial year",63738,17.37,17.25,17.49,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Glasgow City","S12000049","Council area",2013,"2013/14 financial year",113763,19.07,18.97,19.17,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Highland","S12000017","Council area",2013,"2013/14 financial year",34388,14.76,14.62,14.91,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Inverclyde","S12000018","Council area",2013,"2013/14 financial year",15792,19.66,19.38,19.93,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Midlothian","S12000019","Council area",2013,"2013/14 financial year",14601,17.24,16.98,17.49,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Moray","S12000020","Council area",2013,"2013/14 financial year",13943,14.78,14.55,15,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Na h-Eileanan Siar","S12000013","Council area",2013,"2013/14 financial year",4073,14.86,14.45,15.29,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","North Ayrshire","S12000021","Council area",2013,"2013/14 financial year",25258,18.44,18.24,18.65,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","North Lanarkshire","S12000050","Council area",2013,"2013/14 financial year",60726,17.98,17.85,18.11,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Orkney Islands","S12000023","Council area",2013,"2013/14 financial year",3118,14.46,14,14.94,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Perth & Kinross","S12000048","Council area",2013,"2013/14 financial year",21727,14.7,14.52,14.88,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Renfrewshire","S12000038","Council area",2013,"2013/14 financial year",31273,17.98,17.8,18.17,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Scottish Borders","S12000026","Council area",2013,"2013/14 financial year",19233,16.89,16.67,17.11,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Shetland Islands","S12000027","Council area",2013,"2013/14 financial year",3042,13.11,12.68,13.55,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","South Ayrshire","S12000028","Council area",2013,"2013/14 financial year",21351,18.92,18.69,19.15,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","South Lanarkshire","S12000029","Council area",2013,"2013/14 financial year",58290,18.52,18.38,18.65,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Stirling","S12000030","Council area",2013,"2013/14 financial year",13946,15.29,15.05,15.52,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","West Dunbartonshire","S12000039","Council area",2013,"2013/14 financial year",17601,19.6,19.34,19.86,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","West Lothian","S12000040","Council area",2013,"2013/14 financial year",29994,17.03,16.85,17.2,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Scotland","S00000001","Scotland",2014,"2014/15 financial year",928933,17.37,17.34,17.4,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Ayrshire & Arran","S08000015","Health board",2014,"2014/15 financial year",70362,18.96,18.83,19.08,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Borders","S08000016","Health board",2014,"2014/15 financial year",20062,17.59,17.37,17.81,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Dumfries & Galloway","S08000017","Health board",2014,"2014/15 financial year",26063,17.38,17.19,17.57,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Fife","S08000029","Health board",2014,"2014/15 financial year",65719,17.89,17.77,18.02,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Forth Valley","S08000019","Health board",2014,"2014/15 financial year",53512,17.81,17.68,17.95,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Grampian","S08000020","Health board",2014,"2014/15 financial year",84430,14.45,14.36,14.54,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Greater Glasgow & Clyde","S08000031","Health board",2014,"2014/15 financial year",216874,18.98,18.91,19.05,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Highland","S08000022","Health board",2014,"2014/15 financial year",50066,15.61,15.48,15.74,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Lanarkshire","S08000032","Health board",2014,"2014/15 financial year",124127,19,18.91,19.1,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Lothian","S08000024","Health board",2014,"2014/15 financial year",134496,15.67,15.6,15.75,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Orkney","S08000025","Health board",2014,"2014/15 financial year",3235,14.99,14.52,15.47,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Shetland","S08000026","Health board",2014,"2014/15 financial year",3231,13.91,13.48,14.37,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Tayside","S08000030","Health board",2014,"2014/15 financial year",72673,17.56,17.45,17.68,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Western Isles","S08000028","Health board",2014,"2014/15 financial year",4083,14.98,14.56,15.41,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Aberdeen City","S12000033","Council area",2014,"2014/15 financial year",33459,14.62,14.47,14.76,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Aberdeenshire","S12000034","Council area",2014,"2014/15 financial year",36563,14.03,13.9,14.17,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Angus","S12000041","Council area",2014,"2014/15 financial year",20129,17.24,17.03,17.46,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Argyll & Bute","S12000035","Council area",2014,"2014/15 financial year",14500,16.54,16.3,16.79,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","City of Edinburgh","S12000036","Council area",2014,"2014/15 financial year",70194,14.25,14.15,14.35,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Clackmannanshire","S12000005","Council area",2014,"2014/15 financial year",10193,19.91,19.57,20.26,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Dumfries & Galloway","S12000006","Council area",2014,"2014/15 financial year",26063,17.38,17.19,17.57,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Dundee City","S12000042","Council area",2014,"2014/15 financial year",29942,20.21,20.01,20.42,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","East Ayrshire","S12000008","Council area",2014,"2014/15 financial year",22315,18.27,18.06,18.49,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","East Dunbartonshire","S12000045","Council area",2014,"2014/15 financial year",17580,16.47,16.25,16.7,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","East Lothian","S12000010","Council area",2014,"2014/15 financial year",17695,17.33,17.1,17.57,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","East Renfrewshire","S12000011","Council area",2014,"2014/15 financial year",14351,15.53,15.3,15.76,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Falkirk","S12000014","Council area",2014,"2014/15 financial year",29040,18.42,18.23,18.61,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Fife","S12000047","Council area",2014,"2014/15 financial year",65719,17.89,17.77,18.02,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Glasgow City","S12000049","Council area",2014,"2014/15 financial year",117760,19.64,19.54,19.74,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Highland","S12000017","Council area",2014,"2014/15 financial year",35566,15.26,15.11,15.41,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Inverclyde","S12000018","Council area",2014,"2014/15 financial year",16380,20.5,20.22,20.78,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Midlothian","S12000019","Council area",2014,"2014/15 financial year",15377,17.83,17.58,18.09,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Moray","S12000020","Council area",2014,"2014/15 financial year",14408,15.2,14.98,15.43,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Na h-Eileanan Siar","S12000013","Council area",2014,"2014/15 financial year",4083,14.98,14.56,15.41,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","North Ayrshire","S12000021","Council area",2014,"2014/15 financial year",26351,19.31,19.1,19.52,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","North Lanarkshire","S12000050","Council area",2014,"2014/15 financial year",63591,18.81,18.68,18.95,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Orkney Islands","S12000023","Council area",2014,"2014/15 financial year",3235,14.99,14.52,15.47,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Perth & Kinross","S12000048","Council area",2014,"2014/15 financial year",22602,15.18,14.99,15.36,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Renfrewshire","S12000038","Council area",2014,"2014/15 financial year",32507,18.66,18.48,18.84,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Scottish Borders","S12000026","Council area",2014,"2014/15 financial year",20062,17.59,17.37,17.81,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Shetland Islands","S12000027","Council area",2014,"2014/15 financial year",3231,13.91,13.48,14.37,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","South Ayrshire","S12000028","Council area",2014,"2014/15 financial year",21696,19.28,19.05,19.51,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","South Lanarkshire","S12000029","Council area",2014,"2014/15 financial year",60536,19.2,19.06,19.34,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Stirling","S12000030","Council area",2014,"2014/15 financial year",14279,15.6,15.37,15.84,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","West Dunbartonshire","S12000039","Council area",2014,"2014/15 financial year",18296,20.39,20.13,20.66,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","West Lothian","S12000040","Council area",2014,"2014/15 financial year",31230,17.62,17.45,17.8,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Scotland","S00000001","Scotland",2015,"2015/16 financial year",965638,17.97,17.94,18,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Ayrshire & Arran","S08000015","Health board",2015,"2015/16 financial year",72937,19.68,19.55,19.81,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Borders","S08000016","Health board",2015,"2015/16 financial year",20974,18.39,18.17,18.62,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Dumfries & Galloway","S08000017","Health board",2015,"2015/16 financial year",27174,18.16,17.96,18.35,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Fife","S08000029","Health board",2015,"2015/16 financial year",68529,18.62,18.49,18.74,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Forth Valley","S08000019","Health board",2015,"2015/16 financial year",55476,18.33,18.19,18.47,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Grampian","S08000020","Health board",2015,"2015/16 financial year",87809,14.94,14.85,15.03,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Greater Glasgow & Clyde","S08000031","Health board",2015,"2015/16 financial year",224491,19.52,19.45,19.6,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Highland","S08000022","Health board",2015,"2015/16 financial year",52205,16.26,16.14,16.39,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Lanarkshire","S08000032","Health board",2015,"2015/16 financial year",128562,19.64,19.55,19.74,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Lothian","S08000024","Health board",2015,"2015/16 financial year",140367,16.18,16.1,16.25,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Orkney","S08000025","Health board",2015,"2015/16 financial year",3452,15.93,15.45,16.42,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Shetland","S08000026","Health board",2015,"2015/16 financial year",3405,14.68,14.23,15.14,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Tayside","S08000030","Health board",2015,"2015/16 financial year",75831,18.27,18.15,18.39,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Western Isles","S08000028","Health board",2015,"2015/16 financial year",4426,16.35,15.91,16.8,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Aberdeen City","S12000033","Council area",2015,"2015/16 financial year",34426,14.95,14.8,15.09,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Aberdeenshire","S12000034","Council area",2015,"2015/16 financial year",38334,14.63,14.5,14.77,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Angus","S12000041","Council area",2015,"2015/16 financial year",21198,18.13,17.91,18.36,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Argyll & Bute","S12000035","Council area",2015,"2015/16 financial year",14971,17.23,16.98,17.48,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","City of Edinburgh","S12000036","Council area",2015,"2015/16 financial year",72842,14.6,14.51,14.7,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Clackmannanshire","S12000005","Council area",2015,"2015/16 financial year",10560,20.56,20.21,20.91,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Dumfries & Galloway","S12000006","Council area",2015,"2015/16 financial year",27174,18.16,17.96,18.35,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Dundee City","S12000042","Council area",2015,"2015/16 financial year",30868,20.83,20.62,21.03,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","East Ayrshire","S12000008","Council area",2015,"2015/16 financial year",23375,19.15,18.93,19.37,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","East Dunbartonshire","S12000045","Council area",2015,"2015/16 financial year",18184,17,16.78,17.23,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","East Lothian","S12000010","Council area",2015,"2015/16 financial year",18592,18.04,17.81,18.28,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","East Renfrewshire","S12000011","Council area",2015,"2015/16 financial year",14744,15.86,15.63,16.1,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Falkirk","S12000014","Council area",2015,"2015/16 financial year",30268,19.1,18.91,19.3,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Fife","S12000047","Council area",2015,"2015/16 financial year",68529,18.62,18.49,18.74,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Glasgow City","S12000049","Council area",2015,"2015/16 financial year",121943,20.11,20.01,20.21,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Highland","S12000017","Council area",2015,"2015/16 financial year",37234,15.9,15.76,16.05,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Inverclyde","S12000018","Council area",2015,"2015/16 financial year",17001,21.38,21.1,21.67,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Midlothian","S12000019","Council area",2015,"2015/16 financial year",16334,18.69,18.43,18.95,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Moray","S12000020","Council area",2015,"2015/16 financial year",15049,15.76,15.53,15.99,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Na h-Eileanan Siar","S12000013","Council area",2015,"2015/16 financial year",4426,16.35,15.91,16.8,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","North Ayrshire","S12000021","Council area",2015,"2015/16 financial year",27128,19.93,19.72,20.14,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","North Lanarkshire","S12000050","Council area",2015,"2015/16 financial year",65907,19.48,19.35,19.62,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Orkney Islands","S12000023","Council area",2015,"2015/16 financial year",3452,15.93,15.45,16.42,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Perth & Kinross","S12000048","Council area",2015,"2015/16 financial year",23765,15.85,15.67,16.04,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Renfrewshire","S12000038","Council area",2015,"2015/16 financial year",33808,19.37,19.18,19.55,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Scottish Borders","S12000026","Council area",2015,"2015/16 financial year",20974,18.39,18.17,18.62,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Shetland Islands","S12000027","Council area",2015,"2015/16 financial year",3405,14.68,14.23,15.14,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","South Ayrshire","S12000028","Council area",2015,"2015/16 financial year",22434,19.96,19.73,20.19,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","South Lanarkshire","S12000029","Council area",2015,"2015/16 financial year",62655,19.81,19.67,19.95,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Stirling","S12000030","Council area",2015,"2015/16 financial year",14648,15.78,15.55,16.02,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","West Dunbartonshire","S12000039","Council area",2015,"2015/16 financial year",18811,21,20.73,21.26,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","West Lothian","S12000040","Council area",2015,"2015/16 financial year",32599,18.26,18.08,18.44,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Scotland","S00000001","Scotland",2016,"2016/17 financial year",997211,18.45,18.42,18.48,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Ayrshire & Arran","S08000015","Health board",2016,"2016/17 financial year",75429,20.36,20.23,20.49,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Borders","S08000016","Health board",2016,"2016/17 financial year",21633,18.89,18.66,19.12,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Dumfries & Galloway","S08000017","Health board",2016,"2016/17 financial year",28011,18.73,18.54,18.93,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Fife","S08000029","Health board",2016,"2016/17 financial year",70960,19.16,19.03,19.29,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Forth Valley","S08000019","Health board",2016,"2016/17 financial year",57182,18.78,18.64,18.92,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Grampian","S08000020","Health board",2016,"2016/17 financial year",90459,15.38,15.29,15.47,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Greater Glasgow & Clyde","S08000031","Health board",2016,"2016/17 financial year",231391,19.92,19.85,20,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Highland","S08000022","Health board",2016,"2016/17 financial year",53722,16.69,16.56,16.82,"Percentage","Public Health Scotland (Prescribing Information System)"
